transit_timestamp,bus_route,payment_method,fare_class_category,ridership,transfers,date
2023-01-01T00:00:00.000,QM31,omny,OMNY - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,QM25,metrocard,OMNY - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,QM25,metrocard,OMNY - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,QM25,metrocard,Metrocard - Unlimited 30-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,QM25,metrocard,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,QM2,metrocard,Metrocard - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,QM2,metrocard,OMNY - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,QM2,omny,Metrocard - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,QM20,metrocard,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,QM20,metrocard,Metrocard - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,QM20,metrocard,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,QM20,omny,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,QM18,metrocard,OMNY - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,QM20,omny,OMNY - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,QM21,metrocard,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,QM21,omny,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,QM21,omny,OMNY - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,QM24,metrocard,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,QM24,omny,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,QM24,omny,Metrocard - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,QM24,omny,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,QM21,metrocard,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q82,omny,Metrocard - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q97,metrocard,OMNY - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q97,metrocard,Metrocard - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q87,metrocard,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q87,omny,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q87,omny,Metrocard - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q87,omny,Metrocard - Unlimited 30-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q87,omny,OMNY - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q88,metrocard,Metrocard - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q88,metrocard,OMNY - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q88,metrocard,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q88,metrocard,OMNY - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q88,omny,Metrocard - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q88,omny,OMNY - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q89,metrocard,Metrocard - Unlimited 30-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q89,metrocard,OMNY - Other,0,0,2023-01-01
